	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MIR4513	0.0					
MIR4514	0.208	0.021	0.043	0.476	0.634	
MIR4515	0.112	0.009	0.042	0.226	0.821	
MIR4516	0.0					
MIR4517	25.493	0.113	0.206	0.552	0.581	0.705
MIR4518	0.0					
MIR4519	0.0					
MIR451A	0.0					
MIR451B	0.0					
MIR452	0.0					
MIR4520A	0.0					
MIR4520B	1.707	0.0	0.114	0.002	0.999	
MIR4521	0.0					
MIR4522	0.0					
MIR4523	26.275	-0.068	0.206	-0.33	0.742	0.829
MIR4524A	0.191	0.01	0.042	0.226	0.821	
MIR4526	0.0					
MIR4529	0.0					
MIR4530	0.13	-0.01	0.042	-0.246	0.806	
MIR4531	0.0					
MIR4532	0.0					
MIR4533	0.0					
MIR4534	0.357	0.035	0.056	0.619	0.536	
MIR4535	0.0					
MIR4536-1	0.0					
MIR454	0.0					
MIR4540	0.0					
MIR455	0.0					
MIR4632	0.0					
MIR4633	0.234	-0.001	0.049	-0.012	0.991	
MIR4634	0.111	-0.01	0.042	-0.246	0.806	
MIR4635	0.104	0.009	0.042	0.226	0.821	
MIR4636	0.0					
MIR4637	0.0					
MIR4638	0.0					
MIR4639	1.215	0.012	0.097	0.129	0.897	
MIR4640	0.191	0.011	0.046	0.245	0.806	
MIR4641	0.0					
MIR4642	0.574	-0.018	0.069	-0.264	0.792	
MIR4643	0.0					
MIR4644	0.598	0.051	0.069	0.747	0.455	
MIR4645	0.0					
MIR4646	0.0					
MIR4647	0.0					
MIR4648	0.13	-0.01	0.042	-0.246	0.806	
MIR4649	0.0					
MIR4650-1	0.0					
MIR4650-2	0.0					
MIR4651	0.0					
MIR4652	0.0					
MIR4653	2.073	-0.088	0.129	-0.68	0.497	
MIR4654	0.0					
MIR4655	0.0					
MIR4656	0.0					
MIR4657	0.0					
MIR4658	0.505	0.024	0.068	0.351	0.726	
MIR4659A	0.191	-0.012	0.046	-0.267	0.789	
MIR4659B	0.0					
MIR4660	0.0					
MIR4661	0.0					
MIR4663	0.0					
MIR4664	21.231	-0.32	0.207	-1.543	0.123	0.221
MIR4665	0.223	-0.023	0.044	-0.511	0.61	
MIR4666A	7.531	0.284	0.187	1.519	0.129	0.229
MIR4667	0.832	-0.051	0.077	-0.662	0.508	
MIR4668	0.134	0.0	0.042	0.0	1.0	
MIR4669	0.0					
MIR4670	0.0					
MIR4671	0.0					
MIR4672	0.526	0.047	0.067	0.712	0.476	
MIR4673	0.0					
MIR4674	0.0					
MIR4675	0.0					
MIR4676	0.0					
MIR4677	1.449	0.153	0.104	1.476	0.14	
MIR4678	0.0					
MIR4679-1	0.0					
MIR4679-2	0.0					
MIR4680	0.0					
MIR4681	0.0					
MIR4682	0.0					
MIR4683	0.0					
MIR4684	0.0					
MIR4685	0.695	0.063	0.078	0.813	0.416	
MIR4686	0.0					
MIR4687	0.0					
MIR4688	0.0					
MIR4689	0.223	-0.023	0.044	-0.511	0.61	
MIR4690	0.0					
MIR4691	15.083	-0.339	0.206	-1.641	0.101	0.189
MIR4692	0.0					
MIR4693	0.0					
MIR4694	0.0					
MIR4695	0.0					
MIR4696	0.0					
MIR4697	0.0					
MIR4698	0.0					
MIR4699	0.0					
MIR4700	0.0					
MIR4701	1.02	0.127	0.089	1.423	0.155	
MIR4703	0.0					
MIR4705	0.0					
MIR4706	0.375	-0.001	0.06	-0.015	0.988	
MIR4707	0.0					
MIR4708	0.0					
MIR4709	0.0					
MIR4710	0.0					
MIR4711	0.0					
MIR4712	48.103	0.151	0.182	0.828	0.407	0.549
MIR4713	0.0					
MIR4714	0.0					
MIR4715	0.0					
MIR4716	0.0					
MIR4717	0.0					
MIR4718	0.0					
MIR4719	0.0					
MIR4720	4.562	0.12	0.169	0.709	0.478	0.616
MIR4721	1.185	-0.037	0.103	-0.355	0.723	
MIR4722	0.111	-0.01	0.042	-0.246	0.806	
MIR4723	1.205	-0.056	0.103	-0.544	0.587	
MIR4724	0.0					
MIR4725	0.0					
MIR4726	0.0					
MIR4727	0.167	-0.01	0.042	-0.246	0.806	
MIR4728	0.62	0.083	0.076	1.084	0.278	
MIR4729	0.0					
MIR4730	2.472	0.125	0.138	0.906	0.365	
MIR4731	0.0					
MIR4732	0.0					
MIR4733	2.011	0.106	0.126	0.839	0.402	
MIR4734	0.0					
MIR4735	0.0					
MIR4736	0.0					
MIR4737	19.038	-0.279	0.208	-1.345	0.179	0.296
MIR4738	1.216	-0.055	0.1	-0.552	0.581	
MIR4739	0.0					
MIR4740	0.0					
MIR4741	0.0					
MIR4742	2.273	0.088	0.128	0.692	0.489	
MIR4743	0.0					
MIR4744	0.0					
MIR4745	0.537	0.05	0.07	0.711	0.477	
MIR4746	2.861	-0.035	0.139	-0.254	0.799	0.87
MIR4747	0.0					
MIR4748	0.0					
MIR4749	0.191	0.011	0.046	0.245	0.806	
MIR4750	0.548	-0.05	0.067	-0.744	0.457	
MIR4751	0.0					
MIR4752	0.0					
MIR4753	0.0					
MIR4754	0.0					
MIR4755	0.0					
MIR4756	0.0					
MIR4757	0.112	0.009	0.042	0.226	0.821	
MIR4758	0.0					
MIR4759	0.0					
MIR4760	0.0					
MIR4761	0.462	0.022	0.064	0.348	0.728	
MIR4762	0.0					
MIR4763	0.0					
MIR4764	0.0					
MIR4765	0.0					
MIR4766	1.833	0.063	0.123	0.513	0.608	
MIR4767	2.277	-0.1	0.13	-0.766	0.444	
MIR4768	0.0					
MIR4769	0.0					
MIR4770	0.0					
MIR4772	0.0					
MIR4773-1	0.0					
MIR4773-2	0.0					
MIR4774	0.0					
MIR4775	0.0					
MIR4776-1	0.0					
MIR4776-2	0.0					
MIR4777	0.112	0.009	0.042	0.226	0.821	
MIR4778	0.0					
MIR4779	0.0					
MIR4780	0.0					
MIR4781	0.112	0.009	0.042	0.226	0.821	
MIR4782	0.916	-0.027	0.085	-0.321	0.748	
MIR4783	0.0					
MIR4784	12.07	-0.205	0.202	-1.019	0.308	0.446
MIR4785	1.642	-0.025	0.106	-0.236	0.813	
MIR4786	1.129	0.033	0.098	0.341	0.733	
MIR4787	4.398	0.188	0.168	1.123	0.261	0.394
MIR4788	0.0					
MIR4789	0.0					
MIR4790	0.0					
MIR4791	0.0					
MIR4792	0.0					
MIR4793	1.25	0.044	0.103	0.423	0.672	
MIR4794	0.0					
MIR4795	0.375	-0.001	0.06	-0.02	0.984	
MIR4796	0.0					
MIR4797	0.0					
MIR4798	0.0					
MIR4799	0.08	0.0	0.042	0.0	1.0	
MIR4800	0.0					
MIR4801	0.0					
MIR4802	0.0					
MIR4803	0.0					
MIR4804	0.0					
MIR483	0.0					
MIR484	0.0					
MIR485	0.0					
MIR486	0.0					
MIR487A	0.0					
MIR487B	0.0					
MIR488	0.0					
MIR489	0.0					
MIR490	0.0					
MIR491	0.111	-0.01	0.042	-0.246	0.806	
MIR492	0.0					
MIR493	0.0					
MIR494	0.0					
MIR495	0.0					
MIR496	0.0					
MIR497	0.0					
MIR497HG	12.465	-0.29	0.202	-1.436	0.151	0.26
MIR498	0.0					
MIR499A	0.0					
MIR499B	0.485	0.024	0.065	0.366	0.714	
MIR500A	0.0					
MIR500B	0.0					
MIR501	0.0					
MIR502	0.0					
MIR503	0.111	-0.01	0.042	-0.246	0.806	
MIR504	0.0					
MIR5047	909.16	0.342	0.071	4.816	0.0	0.0
MIR505	0.0					
MIR506	0.0					
MIR507	0.0					
MIR508	0.0					
MIR509-1	0.0					
MIR509-2	0.0					
MIR509-3	0.0					
MIR5095	0.0					
MIR510	0.0					
MIR511-1	0.0					
MIR511-2	0.0					
MIR512-1	0.0					
MIR512-2	0.0					
MIR514A1	0.0					
MIR514A2	0.0					
MIR514A3	0.0					
MIR514B	0.0					
MIR515-1	0.0					
MIR515-2	0.0					
MIR516A1	0.0					
MIR516A2	0.0					
MIR516B1	0.0					
MIR516B2	0.0					
MIR517A	0.0					
MIR517B	0.0					
MIR517C	0.0					
MIR518A1	0.0					
MIR518A2	0.0					
MIR518B	0.0					
MIR518C	0.0					
MIR518D	0.0					
MIR518E	0.0					
MIR518F	0.0					
MIR519A1	0.0					
MIR519A2	0.0					
MIR519B	0.0					
MIR519C	0.0					
MIR519D	0.0					
MIR519E	0.0					
MIR520A	0.0					
MIR520B	0.0					
MIR520C	0.0					
MIR520D	0.0					
MIR520E	0.0					
MIR520F	0.0					
MIR520G	0.0					
MIR520H	0.0					
MIR521-1	0.0					
MIR521-2	0.0					
MIR522	0.0					
MIR523	0.0					
MIR524	0.0					
MIR525	0.0					
MIR526A1	0.0					
MIR526A2	0.0					
MIR526B	0.0					
MIR527	0.0					
MIR532	0.0					
MIR539	0.0					
MIR541	0.0					
MIR542	0.0					
MIR543	0.0					
MIR545	0.0					
MIR548A1	0.0					
MIR548A2	0.0					
MIR548A3	0.0					
MIR548AA1	0.0					
MIR548AA2	0.08	0.0	0.042	0.0	1.0	
MIR548AC	0.782	0.03	0.085	0.356	0.722	
MIR548AD	0.0					
MIR548AE2	0.0					
MIR548AI	0.0					
MIR548AJ2	0.0					
MIR548AL	0.0					
MIR548AN	0.0					
MIR548B	0.0					
MIR548C	0.0					
MIR548D1	0.0					
MIR548D2	0.0					
MIR548F1	0.0					
MIR548F2	0.0					
MIR548F3	0.0					
MIR548F4	0.0					
MIR548F5	0.0					
MIR548G	0.0					
MIR548H2	0.0					
MIR548H3	0.0					
MIR548H4	6.383	-0.083	0.184	-0.452	0.651	0.762
MIR548I1	0.0					
MIR548I2	0.0					
MIR548I3	0.0					
MIR548I4	0.0					
MIR548J	0.0					
MIR548K	0.0					
MIR548M	0.0					
MIR548N	0.303	-0.033	0.053	-0.615	0.539	
MIR548O2	0.0					
MIR548Q	0.0					
MIR548T	0.0					
MIR548W	0.0					
MIR548X	0.0					
MIR548Y	0.0					
MIR548Z	0.0					
MIR549	0.0					
MIR550A1	0.191	0.011	0.046	0.245	0.806	
MIR550A2	0.111	-0.01	0.042	-0.246	0.806	
MIR550A3	0.191	0.01	0.042	0.226	0.821	
MIR550B1	0.0					
MIR550B2	0.0					
MIR551A	0.0					
MIR551B	0.0					
MIR553	2.119	0.049	0.129	0.382	0.702	
MIR554	0.21	-0.013	0.047	-0.277	0.782	
MIR555	0.13	-0.01	0.042	-0.246	0.806	
MIR556	0.0					
MIR557	0.0					
MIR558	0.0					
MIR559	0.0					
MIR561	0.184	0.011	0.045	0.242	0.809	
MIR563	0.806	0.057	0.082	0.693	0.488	
MIR564	0.0					
MIR567	1.244	0.05	0.107	0.466	0.641	
MIR568	1.589	-0.033	0.111	-0.3	0.764	
MIR569	0.0					
MIR570	26.835	0.025	0.204	0.123	0.902	0.94
MIR572	0.0					
MIR573	4.851	0.229	0.172	1.333	0.182	0.301
MIR574	0.0					
MIR575	0.0					
MIR577	0.0					
MIR578	0.104	0.009	0.042	0.226	0.821	
MIR580	0.494	0.026	0.068	0.379	0.704	
MIR581	0.0					
MIR583	0.0					
MIR585	0.0					
MIR586	0.0					
MIR589	3.713	-0.03	0.157	-0.193	0.847	0.902
MIR590	20.266	0.066	0.207	0.318	0.75	0.837
MIR591	0.0					
MIR592	0.0					
MIR593	0.351	-0.001	0.059	-0.014	0.989	
MIR595	0.0					
MIR596	0.0					
MIR597	0.0					
MIR598	0.0					
MIR599	0.0					
MIR600	0.0					
MIR600HG	299.214	0.056	0.101	0.559	0.576	0.701
MIR601	0.0					
MIR602	0.104	0.009	0.042	0.226	0.821	
MIR603	0.0					
MIR604	0.0					
MIR605	0.0					
MIR608	0.462	0.022	0.064	0.348	0.728	
MIR609	0.0					
MIR610	0.0					
MIR611	0.59	-0.055	0.073	-0.749	0.454	
MIR612	0.13	-0.01	0.042	-0.246	0.806	
MIR613	0.214	0.0	0.047	0.0	1.0	
MIR614	18.281	0.197	0.208	0.945	0.345	0.486
MIR615	0.314	-0.001	0.057	-0.014	0.989	
MIR617	0.0					
MIR618	0.111	-0.01	0.042	-0.246	0.806	
MIR620	0.0					
MIR621	0.0					
MIR622	62.994	-0.16	0.174	-0.921	0.357	0.498
MIR623	0.0					
MIR624	0.0					
MIR626	0.0					
MIR627	0.0					
MIR628	0.743	-0.045	0.071	-0.624	0.532	
MIR629	0.0					
MIR630	4.343	0.116	0.166	0.7	0.484	0.621
MIR631	1.519	0.042	0.112	0.375	0.708	
MIR632	0.0					
MIR634	0.0					
MIR635	2.942	-0.009	0.142	-0.06	0.952	0.971
MIR636	5.846	-0.043	0.179	-0.24	0.81	0.877
MIR637	12.919	0.221	0.206	1.075	0.282	0.418
MIR638	0.0					
MIR639	0.88	0.027	0.089	0.305	0.76	
MIR641	27.437	0.41	0.205	1.999	0.046	0.1
MIR642A	0.264	-0.015	0.051	-0.3	0.765	
MIR642B	0.0					
MIR643	0.383	0.031	0.053	0.589	0.556	
MIR644A	0.487	0.02	0.065	0.307	0.759	
MIR645	0.223	0.022	0.044	0.489	0.625	
MIR647	19.364	-0.443	0.208	-2.132	0.033	0.076
MIR648	0.111	-0.01	0.042	-0.246	0.806	
MIR650	0.0					
MIR651	0.0					
MIR653	0.0					
MIR654	0.0					
MIR655	0.0					
MIR656	0.0					
MIR657	2.31	-0.142	0.133	-1.066	0.287	
MIR658	1.415	-0.02	0.107	-0.189	0.85	
MIR659	5.007	-0.078	0.172	-0.453	0.651	0.761
MIR660	0.0					
MIR661	0.0					
MIR662	0.0					
MIR663A	1.996	0.023	0.123	0.189	0.85	
MIR663B	0.75	0.057	0.083	0.684	0.494	
MIR664	0.383	-0.037	0.057	-0.639	0.523	
MIR665	0.0					
MIR668	0.0					
MIR670	0.0					
MIR671	0.0					
MIR675	0.0					
MIR676	0.0					
MIR7-1	14.958	0.342	0.206	1.662	0.097	0.182
MIR7-2	0.0					
MIR7-3	0.24	0.0	0.046	0.0	1.0	
MIR7-3HG	18.608	-0.171	0.208	-0.823	0.411	0.553
MIR708	0.0					
MIR711	0.0					
MIR718	0.167	-0.01	0.042	-0.246	0.806	
MIR744	0.0					
MIR758	0.0					
MIR759	0.0					
MIR760	0.0					
MIR761	0.0					
MIR762	7.019	0.008	0.182	0.043	0.966	0.979
MIR764	0.0					
MIR765	0.537	0.05	0.07	0.711	0.477	
MIR766	0.191	0.01	0.042	0.226	0.821	
MIR767	0.0					
MIR769	0.0					
MIR770	0.0					
MIR802	0.0					
MIR873	0.0					
MIR874	0.134	0.0	0.042	0.0	1.0	
MIR875	0.0					
MIR876	0.0					
MIR877	0.0					
MIR885	0.0					
MIR888	0.0					
MIR889	0.0					
MIR890	0.0					
MIR891A	0.0					
MIR891B	0.0					
MIR892A	0.0					
MIR892B	0.0					
MIR9-1	0.0					
MIR9-2	0.0					
MIR9-3	0.0					
MIR920	0.0					
MIR921	0.0					
MIR922	0.0					
MIR92A1	0.0					
MIR92A2	0.0					
MIR92B	0.605	0.018	0.07	0.253	0.8	
MIR93	0.303	0.031	0.053	0.59	0.555	
MIR933	0.191	0.01	0.042	0.226	0.821	
MIR934	0.0					
MIR935	0.0					
MIR936	0.0					
MIR937	0.134	0.0	0.042	0.0	1.0	
MIR938	0.0					
MIR939	0.134	0.0	0.042	0.0	1.0	
MIR940	2.971	-0.133	0.143	-0.926	0.354	0.495
MIR941-1	0.0					
MIR941-2	0.0					
MIR941-3	0.0					
MIR941-4	0.08	0.0	0.042	0.0	1.0	
MIR942	0.453	0.063	0.064	0.976	0.329	
MIR943	0.941	-0.061	0.092	-0.663	0.507	
MIR944	0.0					
MIR96	0.0					
MIR98	0.104	0.009	0.042	0.226	0.821	
MIR99A	0.0					
MIR99B	0.412	-0.001	0.062	-0.015	0.988	
MIRLET7A1	0.104	0.009	0.042	0.226	0.821	
MIRLET7A2	0.0					
MIRLET7A3	0.0					
MIRLET7B	0.0					
MIRLET7BHG	0.953	0.034	0.087	0.388	0.698	
MIRLET7C	0.0					
MIRLET7D	19.498	-0.111	0.208	-0.532	0.595	0.716
MIRLET7E	0.0					
MIRLET7F1	1.921	0.179	0.123	1.451	0.147	
MIRLET7F2	0.0					
MIRLET7G	0.13	-0.01	0.042	-0.246	0.806	
MIRLET7I	0.884	0.014	0.087	0.16	0.873	
MIS12	2083.192	0.232	0.06	3.889	0.0	0.0
MIS18A	1207.855	0.033	0.063	0.529	0.597	0.718
MIS18BP1	1758.934	-0.067	0.072	-0.924	0.356	0.496
MITD1	541.524	0.207	0.084	2.466	0.014	0.036
MITF	457.883	0.009	0.091	0.095	0.925	0.955
MIXL1	9.86	0.199	0.2	0.996	0.319	0.458
MKI67	10064.171	0.215	0.051	4.19	0.0	0.0
MKI67IP	1535.282	-0.094	0.068	-1.371	0.17	0.286
MKKS	1061.822	-0.079	0.069	-1.14	0.254	0.386
MKL1	1252.58	-0.123	0.064	-1.92	0.055	0.116
MKL2	982.132	0.015	0.067	0.23	0.818	0.882
MKLN1	2629.997	0.102	0.064	1.609	0.108	0.199
MKNK1	758.116	-0.203	0.072	-2.8	0.005	0.016
MKNK2	2895.722	-0.136	0.06	-2.263	0.024	0.057
MKRN1	2805.638	0.211	0.051	4.173	0.0	0.0
MKRN2	2090.284	-0.196	0.052	-3.773	0.0	0.001
MKRN3	4.182	0.055	0.167	0.329	0.742	0.83
MKRN7P	9.687	-0.219	0.197	-1.111	0.266	0.4
MKRN9P	261.984	0.272	0.106	2.559	0.011	0.029
MKS1	812.387	-0.01	0.071	-0.148	0.883	0.927
MKX	311.187	0.165	0.097	1.708	0.088	0.169
MLANA	0.0					
MLC1	5.054	0.145	0.173	0.838	0.402	0.543
MLEC	4415.1	0.165	0.049	3.361	0.001	0.003
MLF1	1066.496	0.382	0.08	4.76	0.0	0.0
MLF1IP	3540.07	0.027	0.055	0.489	0.625	0.741
MLF2	5171.487	-0.108	0.062	-1.75	0.08	0.157
MLH1	1882.182	-0.275	0.058	-4.721	0.0	0.0
MLH3	100.25	-0.199	0.148	-1.343	0.179	0.297
MLIP	0.863	0.031	0.084	0.364	0.716	
MLK7-AS1	19.954	-0.593	0.207	-2.861	0.004	0.013
MLKL	3.654	-0.146	0.157	-0.928	0.354	0.494
MLL	3741.485	0.582	0.067	8.649	0.0	0.0
MLL2	3965.551	0.14	0.147	0.957	0.339	0.48
MLL3	3661.219	0.245	0.074	3.325	0.001	0.003
MLL4	2749.016	-0.233	0.06	-3.892	0.0	0.0
MLL5	2164.511	0.113	0.054	2.101	0.036	0.081
MLLT1	2497.621	-0.31	0.058	-5.375	0.0	0.0
MLLT10	1500.904	-0.263	0.062	-4.264	0.0	0.0
MLLT10P1	0.191	0.01	0.042	0.226	0.821	
MLLT11	1472.367	0.142	0.058	2.456	0.014	0.037
MLLT3	860.237	-0.157	0.071	-2.211	0.027	0.065
MLLT4	6310.16	-0.03	0.048	-0.612	0.54	0.67
MLLT4-AS1	98.211	0.687	0.15	4.588	0.0	0.0
MLLT6	2884.976	-0.162	0.051	-3.178	0.001	0.005
MLN	0.0					
MLNR	2.685	0.105	0.143	0.732	0.464	0.603
MLPH	1.942	-0.009	0.121	-0.074	0.941	
MLST8	1604.764	-0.363	0.059	-6.179	0.0	0.0
MLX	1780.29	0.004	0.055	0.064	0.949	0.969
MLXIP	1741.296	-0.382	0.058	-6.534	0.0	0.0
MLXIPL	254.83	0.271	0.136	2.0	0.046	0.099
MLYCD	177.909	0.012	0.122	0.096	0.923	0.954
MMAA	124.253	0.308	0.145	2.126	0.033	0.077
MMAB	1101.342	-0.188	0.066	-2.86	0.004	0.013
MMACHC	796.821	-0.47	0.077	-6.134	0.0	0.0
MMADHC	1300.321	-0.131	0.063	-2.095	0.036	0.082
MMD	1008.282	0.327	0.068	4.83	0.0	0.0
MMD2	1.077	0.13	0.098	1.324	0.185	
MME	249.625	-0.167	0.113	-1.476	0.14	0.245
MMEL1	1.909	-0.009	0.119	-0.075	0.941	
MMGT1	1819.547	-0.047	0.059	-0.789	0.43	0.571
MMP1	0.813	-0.11	0.086	-1.292	0.196	
MMP10	4.596	-0.058	0.164	-0.354	0.724	0.815
MMP11	61.807	0.319	0.174	1.835	0.067	0.135
MMP12	2.182	-0.05	0.127	-0.39	0.697	
MMP13	13.184	-0.275	0.206	-1.333	0.182	0.301
MMP14	24.213	0.431	0.205	2.099	0.036	0.081
MMP15	627.004	0.26	0.084	3.084	0.002	0.007
MMP16	27.053	0.352	0.204	1.726	0.084	0.164
MMP17	140.526	0.165	0.144	1.143	0.253	0.385
MMP19	0.735	-0.06	0.082	-0.727	0.467	
MMP2	221.639	0.787	0.114	6.898	0.0	0.0
MMP20	0.0					
MMP21	1.918	-0.147	0.121	-1.215	0.224	
MMP23A	0.559	-0.028	0.074	-0.375	0.708	
MMP23B	3.046	-0.075	0.144	-0.524	0.601	0.721
MMP24	18.824	0.061	0.208	0.295	0.768	0.849
MMP25	10.047	0.19	0.197	0.963	0.335	0.476
MMP26	0.0					
MMP27	0.0					
MMP28	4.185	0.482	0.162	2.977	0.003	0.01
MMP3	0.214	0.0	0.047	0.0	1.0	
MMP7	0.245	-0.014	0.05	-0.292	0.77	
MMP8	0.0					
MMP9	3.866	-0.066	0.162	-0.405	0.685	0.788
MMRN1	1.502	0.05	0.106	0.472	0.637	
MMRN2	2.61	0.136	0.132	1.028	0.304	0.441
MMS19	1734.35	0.062	0.059	1.049	0.294	0.431
MMS22L	2310.353	-0.188	0.056	-3.359	0.001	0.003
MN1	342.255	-0.211	0.102	-2.067	0.039	0.087
MNAT1	1259.532	0.271	0.072	3.784	0.0	0.001
MND1	543.754	-0.048	0.082	-0.586	0.558	0.686
MNDA	0.0					
MNF1	978.444	-0.08	0.073	-1.103	0.27	0.404
MNS1	322.787	-0.133	0.101	-1.324	0.186	0.305
MNT	801.524	-0.044	0.082	-0.53	0.596	0.717
MNX1	690.158	0.102	0.085	1.199	0.231	0.359
MOAP1	1331.845	-0.065	0.06	-1.083	0.279	0.414
MOB1A	1259.688	0.268	0.063	4.222	0.0	0.0
MOB1B	1567.878	0.311	0.078	3.985	0.0	0.0
MOB2	367.288	-0.121	0.098	-1.237	0.216	0.342
MOB3A	598.438	-0.397	0.082	-4.823	0.0	0.0
MOB3B	327.507	0.188	0.095	1.992	0.046	0.101
MOB3C	105.858	0.179	0.156	1.145	0.252	0.384
MOB4	14.317	0.016	0.205	0.08	0.936	0.961
MOBP	11.095	-0.331	0.202	-1.641	0.101	0.189
MOCOS	259.448	0.307	0.104	2.937	0.003	0.011
MOCS1	653.562	-0.068	0.075	-0.898	0.369	0.51
MOCS2	1226.295	-0.201	0.062	-3.232	0.001	0.005
MOCS3	470.623	-0.218	0.087	-2.511	0.012	0.033
MOG	2.153	0.113	0.131	0.858	0.391	
MOGAT1	0.375	0.04	0.061	0.654	0.513	
MOGAT2	0.0					
MOGAT3	0.0					
MOGS	1126.315	0.357	0.062	5.794	0.0	0.0
MOK	306.007	-0.031	0.104	-0.3	0.764	0.846
MON1A	382.696	-0.183	0.103	-1.78	0.075	0.149
MON1B	765.133	-0.096	0.074	-1.294	0.196	0.317
MON2	1576.908	0.184	0.061	3.017	0.003	0.009
MORC1	0.26	-0.025	0.047	-0.54	0.589	
MORC2	2034.864	0.088	0.055	1.589	0.112	0.205
MORC2-AS1	0.845	-0.029	0.082	-0.35	0.727	
MORC3	1182.273	0.239	0.069	3.493	0.0	0.002
MORC4	2212.16	0.082	0.053	1.526	0.127	0.227
MORF4L1	5190.194	-0.103	0.047	-2.176	0.03	0.069
MORF4L2	20426.494	0.204	0.037	5.451	0.0	0.0
MORN1	156.333	-0.129	0.135	-0.956	0.339	0.48
MORN2	288.675	-0.008	0.102	-0.08	0.936	0.961
MORN3	17.631	-0.089	0.208	-0.429	0.668	0.774
MORN4	453.996	0.131	0.089	1.464	0.143	0.25
MORN5	2.713	0.073	0.142	0.514	0.607	0.726
MOS	0.0					
MOSPD1	3260.682	-0.197	0.055	-3.612	0.0	0.001
MOSPD2	742.231	0.279	0.072	3.891	0.0	0.0
MOSPD3	156.533	0.114	0.136	0.837	0.402	0.544
MOV10	21681.8	4.941	0.071	69.396	0.0	0.0
MOV10L1	1.766	0.181	0.117	1.547	0.122	
MOXD1	556.092	0.817	0.088	9.274	0.0	0.0
MOXD2P	0.0					
MPDU1	943.428	-0.287	0.081	-3.565	0.0	0.002
MPDZ	1006.147	0.09	0.067	1.339	0.18	0.299
MPEG1	0.0					
MPG	431.247	-0.037	0.098	-0.374	0.709	0.804
MPHOSPH10	1474.016	-0.3	0.069	-4.337	0.0	0.0
MPHOSPH6	586.024	-0.056	0.084	-0.665	0.506	0.641
MPHOSPH8	983.016	-0.031	0.068	-0.448	0.654	0.764
MPHOSPH9	1353.599	0.08	0.069	1.158	0.247	0.378
MPI	1955.103	-0.081	0.062	-1.308	0.191	0.311
MPL	3.736	-0.278	0.157	-1.773	0.076	0.151
MPND	270.841	0.135	0.108	1.248	0.212	0.337
MPO	0.0					
MPP1	698.332	-0.147	0.081	-1.812	0.07	0.141
MPP2	1679.06	-0.431	0.066	-6.496	0.0	0.0
MPP3	446.754	0.163	0.087	1.871	0.061	0.127
MPP4	3.836	-0.313	0.16	-1.96	0.05	0.107
MPP5	1915.794	-0.187	0.066	-2.843	0.004	0.014
MPP6	816.062	-0.02	0.07	-0.29	0.772	0.851
MPP7	815.648	0.143	0.073	1.958	0.05	0.108
MPPE1	213.538	0.091	0.114	0.793	0.428	0.569
MPPED1	6.036	-0.016	0.178	-0.09	0.928	0.956
MPPED2	261.336	0.398	0.105	3.789	0.0	0.001
MPRIP	3525.931	-0.298	0.055	-5.462	0.0	0.0
MPST	1060.161	-0.058	0.071	-0.817	0.414	0.556
MPV17	735.569	-0.106	0.084	-1.265	0.206	0.33
MPV17L	0.104	0.009	0.042	0.226	0.821	
MPV17L2	508.765	-0.19	0.084	-2.272	0.023	0.056
MPZ	5.39	-0.288	0.178	-1.621	0.105	0.195
MPZL1	2062.904	-0.229	0.061	-3.751	0.0	0.001
MPZL2	127.945	-0.051	0.14	-0.363	0.716	0.81
MPZL3	78.733	0.221	0.165	1.337	0.181	0.3
MR1	211.5	0.58	0.119	4.869	0.0	0.0
MRAP	0.104	0.009	0.042	0.226	0.821	
MRAP2	63.039	0.347	0.172	2.018	0.044	0.096
MRAS	835.816	-0.036	0.071	-0.508	0.611	0.73
MRC1	1.652	-0.092	0.111	-0.831	0.406	
MRC2	436.686	1.508	0.1	15.035	0.0	0.0
MRE11A	2098.684	-0.002	0.062	-0.037	0.97	0.982
MREG	521.444	-0.482	0.095	-5.096	0.0	0.0
MRFAP1	11359.942	-0.044	0.044	-1.0	0.317	0.456
MRFAP1L1	2255.91	0.107	0.055	1.931	0.054	0.113
MRGPRD	0.0					
MRGPRE	0.104	0.009	0.042	0.226	0.821	
MRGPRF	0.0					
MRGPRG	0.0					
MRGPRX1	0.0					
MRGPRX2	0.0					
MRGPRX3	0.405	0.021	0.062	0.336	0.737	
MRGPRX4	0.0					
MRI1	1359.223	-0.362	0.062	-5.81	0.0	0.0
MRM1	204.316	-0.117	0.117	-0.993	0.321	0.46
MRO	10.087	0.129	0.2	0.644	0.519	0.652
MRP63	857.184	-0.195	0.074	-2.634	0.008	0.024
MRPL1	749.441	-0.286	0.078	-3.648	0.0	0.001
MRPL10	1841.906	-0.089	0.063	-1.423	0.155	0.265
MRPL11	1119.683	-0.33	0.067	-4.905	0.0	0.0
MRPL12	3573.612	-0.283	0.053	-5.324	0.0	0.0
MRPL13	1452.018	0.002	0.066	0.033	0.973	0.984
MRPL14	1317.768	-0.231	0.078	-2.973	0.003	0.01
MRPL15	1173.767	-0.232	0.068	-3.405	0.001	0.003
MRPL16	1225.511	-0.124	0.062	-1.997	0.046	0.1
MRPL17	1084.199	-0.064	0.066	-0.974	0.33	0.47
MRPL18	1717.551	-0.107	0.059	-1.802	0.072	0.143
